Aichmophobia,Second Main,5,Hunter,Dwarf,Alt,Irascible-Dreamscythe;Redmond-Dreamscythe(main),Redmond Bank,,
Alcohealik,Second Main,60,Priest,Human,Alt,Poundmore-Dreamscythe,Squanchtuah's Alt,,
Allbow,Second Main,60,Hunter,Night Elf,Alt,Allfaith-Dreamscythe(main);Allfrost-Dreamscythe,Allfaith,,
Allfaith,Member,60,Druid,Night Elf,Main,Allbow-Dreamscythe;Allfrost-Dreamscythe,Engineer - Biznicks Accurascope,,
Allfrost,Second Main,60,Mage,Gnome,Alt,Allbow-Dreamscythe;Allfaith-Dreamscythe(main),Allfaith,,
Anewstart,Second Main,52,Mage,Gnome,Alt,Anústart-Dreamscythe;Anüstart-Dreamscythe(main);Leatherdáddy-Dreamscythe;Sheabutta-Dreamscythe;Sixinunbuffd-Dreamscythe,Anus,,
Angêl,Second Main,26,Paladin,Human,Alt,Aveiangel-Dreamscythe;Gonlaren-Dreamscythe(main),Gonlaren,,
Anústart,Second Main,19,Paladin,Human,Alt,Anewstart-Dreamscythe;Anüstart-Dreamscythe(main);Leatherdáddy-Dreamscythe;Sheabutta-Dreamscythe;Sixinunbuffd-Dreamscythe,Anus,,
Anüstart,Member,60,Warrior,Human,Main,Anewstart-Dreamscythe;Anústart-Dreamscythe;Leatherdáddy-Dreamscythe;Sheabutta-Dreamscythe;Sixinunbuffd-Dreamscythe,Alch/ Eng,,
Arcm,Second Main,60,Warrior,Dwarf,Alt,Mcra-Dreamscythe(main),Mcra,,
Aryxina,Member,60,Warlock,Human,Main,,Tailoring / Skinning,,
Asalamalikim,Raider,60,Warrior,Night Elf,Main,Asalamasikim-Dreamscythe;Patzer-Dreamscythe,'Murrica,FUCK YEAH,
Asalamasikim,Second Main,60,Mage,Gnome,Alt,Asalamalikim-Dreamscythe(main);Patzer-Dreamscythe,ricky bobby ,,
Aurlua,Member,60,Paladin,Human,Main,,,,
Aveiangel,Second Main,60,Mage,Human,Alt,Angêl-Dreamscythe;Gonlaren-Dreamscythe(main),Gonlaren,,
Bobsun,Raider,60,Paladin,Human,Main,,Ret / OS Holy,Vendy /Quest friend,
Bojjo,Raider,60,Mage,Gnome,Main,Moonjjo-Dreamscythe;Smokeyz-Dreamscythe;Wojjo-Dreamscythe,Engineer / Tailor,,
Boomshakalka,Second Main,40,Druid,Night Elf,Alt,Truhealz-Dreamscythe(main),Truhealz Alt,,
Borimbor,Raider,60,Priest,Dwarf,Main,,,,
Britafilters,Second Main,34,Priest,Human,Alt,Mcduckington-Dreamscythe;Sineprepus-Dreamscythe,Sineprepus,,
Buckets,Member,60,Warrior,Gnome,Main,,,,
